id,本文,答え,補足説明1,補足説明2,補足説明3,補足説明4,補足説明5,サブ,サブ2,サブ3,サブ4,サブ5,サブ4_2
1,法令で規定されている保安規定に関する次の記述のうち[  ]の中の(イ)~(ホ)の語句のうち、誤っているものはいくつあるか。,2,一般ガス導管事業者は、[ (イ)保安業務の適正な実施を確保するため、 ]保安規定を定め、事業の[ (ロ)開始前 ]に、経済産業大臣に届け出なければならない。,また、一般ガス導管事業者は、保安規定を変更したときは、[ (ハ)遅滞なく ]、変更した事項を経済産業大臣に届け出なければならない。,経済産業大臣は、一般ガス導管事業の用に供するガス工作物に関する保安を確保するため必要があると認めるときは、一般ガス導管事業者に対し、[ (ニ)その使用を一時停止すべきこと ]を命ずることができる。,[ (ホ)一般ガス導管事業者及びその従業者 ]は、保安規定を守らなければならない。,,,,,,,
1,法令で規定されているガス主任技術者の選任及び解任に関する次の記述について、[  ]の中の(イ)~(ホ)の語句のうち、正しいものものはいくつあるか。,5,ガス小売事業者は、経済産業省令で定めるところにより、ガス主任技術者免状の交付を受けているものであって、経済産業省令で定める実務の経験を有するもののうちから、ガス主任技術者を選任しなければならない。,経済産業省令で定める実務の経験は、[(イ)甲]種ガス主任技術者免状の交付を受けているものにあっては製造又は供給の用に供するガス工作物の工事、維持又は運用に関する業務に[(ロ)通算]して[(ハ)1]年以上従事したこととし、当該経験と同等以上の実務経験であると[(ニ)経済産業大臣]が認定した経験をもって代えることができる。,[(ホ)ガス小売事業者に対し、ガス主任技術者の解任を命ずる。]ことができる。,,,,,,,,
1,法令で規定されている一般ガス導管事業者及びガス製造事業者の業務に関する次の記述のうち、正しいものはいくつあるか。,2,(イ)　一般ガス導管事業者は、その供給区域における託送供給に係る料金その他の供給条件について、託送供給約款を定め、経済産業大臣に届け出なければならない。,(ロ)　一般ガス導管事業者が定める託送供給約款においては、託送供給を行うことができるガスの熱量等の範囲、組成その他のガスの受入条件に関する事項を定めなければならない。,(ハ)　一般ガス導管事業者は、正当な理由がなければ、最終保障供給を拒んではならない。,(ニ)　ガス製造事業者は、毎年度、ガスの製造並びにガス工作物の設置及び運用について供給計画を作成し、当該年度の開始前に、経済産業大臣に届け出なければならない。,(ホ)　ガス製造事業者は、その製造するガスの圧力にあっては、常時、製造所の出口及び経済産業大臣が指定する場所において、圧力値を自動的に記録する圧力計を使用して測定しなければならない。,,,,,,
1,次のガス事故のうち、ガス事故速報を報告することが法令で規定されているものはいくつあるか。ただし、台風、高潮、洪水、津波、地震その他の自然災害又は火災による広範囲の地域にわたるガス工作物の損壊事故、製造支障事故又は供給支障事故であって、経済産業大臣が指定するものを除く。,4,(イ)　ガス工作物(ガス栓を除く。)の操作により人が死亡した事故,(ロ)　ガスの供給に支障を及ぼした事故であって、供給支障戸数が500以上のもの,(ハ)　工事中のガス工作物(ガス栓を除く。)の損壊により人が負傷した事故,(ニ)　ガス工作物(ガス栓を除く。)の損壊により、一般公衆に対し、交通の困難を招来した事故,(ホ)　ガス栓の欠陥によりガス栓から漏えいしたガスに引火することにより、発生した物損事故,,,,,,
1,凹凸形にプレスされた伝熱板をガスケットではさんで重ね合わせ、伝熱板の間を交互に2つの流体が流れるようにした構造の熱交換器は、次のうちどれか。,3,ブロック形熱交換器,ジャケット形熱交換器 ,プレート形熱交換器,二重管式熱交換器,単管式熱交換器,,,,,,
1,メタンと水素の体積比が4:1の混合ガスを空気比1で完全燃焼させたとき、乾き燃焼ガス中の二酸化炭素の濃度(vol%)として、最も近い値はどれか。ただし、空気中の窒素と酸素の体積比は4:1 とする。,2,8.5,11,25,31,100,,,,,,
1,内径 150 mm の直円管の中を平均流速 2m/sでガスが流れているとき、損失ヘッドが 0.3 m であった。この直円管の長さ(m) として、最も近い値はどれか。ただし、管摩擦係数は 0.03、重力加速度は 10 m/s とし、直円管内の流れは完全に発達した状態とする。,2,4.5,7.5,15,750,7500,,,,,,
1,"技術基準で規定されているガス工作物に関する次の記述のうち、正しいものはいくつあるか。ただし、3、4及び,5のガス工作物は、不活性のガス(空気を含む。)又は不活性の液化ガスのみを通ずるものではない。",3,(イ)　整圧器(一の使用者にガスを供給するためのものを除く。)は、公衆がみだりに操作しないよう、適切な措置を講じなければならない。,(ロ)　製造所(特定製造所を除く。)、供給所及び導管を管理する事業場には、緊急時に迅速な通信を確保するため、適切な通信設備を設けなければならない。,(ハ)　製造所に設置するガス若しくは液化ガスを通ずるガス工作物には、その規模に応じて、適切な防消火設備を適切な箇所に設けなければならない。,(ニ)　ガス又は液化ガスを通ずるガス工作物を設置する室(製造所及び供給所に存するものに限る。)は、これらのガス又は液化ガスが漏えいしたとき室外に流出しない構造でなければならない。,(ホ)　ガス発生設備及び附帯設備であって製造設備に属するもののガス又は液化ガスを通ずる部分は、ガス又は液化ガスを安全に放出できる構造でなければならない。,,,,,,
1,技術基準で規定されているガス工作物に関する次の記述について、[   ]の中の(イ)~(ホ)の語句のうち、誤っているものはいくつあるか。,1,告示で定める着脱が容易なガス栓は、内部に[(イ)過流出安全機構]を有するものでなければならない。,ガスの使用場所である超高層建物、高層建物又は特定大規模建物にガスを供給する導管には、危急の場合にガスを速やかに[(口)遮断]することができる適切な装置を適切な場所に設けなければならない。,ガス事業者がガスの使用者との取引のために使用するガスメーター(使用最大流量が毎時[(ハ)16㎡] 以下、使用最大圧力が4kPa以下及び口径 250 mm 以下のものに限る。)は、ガスが流入している状態において、災害の発生のおそれのある大きさの地震動、[(二)過大]なガスの流量又は異常なガス圧力のは[(ホ)上昇]を検知した場合に、ガスを速やかに遮断する機能を有するものでなければならない。,,,,,,,,
1,法令で規定されているガス用品及び「特定ガス消費機器の設置工事の監督に関する法律」に関する次の記述について、[   ]の中の(イ)〜(ホ)の語句のうち、正しいものはいくつあるか。,5,「ガス用品」とは、主として一般消費者等がガスを消費する場合に用いられる機械、器具又は[(イ)材料]であって、政令で定めるものをいう。,ガス用品の製造、輸入又は販売の事業を行う者は、経済産業省令で定める基準適合表示が 付されているものでなければ、ガス用品を販売し、又は[(口)販売]の目的で陳列してはならない。,特定工事事業者は、特定工事を施工するときは、特定工事が消費機器の技術上の基準に適合することを確保するため、[(ハ)ガス消費機器設置工事監督者]の資格を有する者に[(ニ)実地に監督]をさせなければならない。,特定工事事業者は、特定工事を施工したときは、当該特定工事に係る特定ガス消費機器の見やすい場所に、氏名又は名称、[(ホ)施工年月日]その他の経済産業省令で定める事項を記載した表示を付さなければならない。,,,,,,,
